,Company Name,Company Rating,Company Type,Company Locations
101,JustDial,3.6,Internet , Mumbai +182 more
102,Bajaj Allianz Life Insurance,4.1,Insurance , Pune +507 more
103,Hero MotoCorp,4.2,Automobile , Gurgaon/Gurugram +319 more
104,OPPO,4.0,Consumer Electronics & Appliances , Dongguan +359 more
105,Mahindra Finance,4.3,NBFC , Mumbai +634 more
106,DMart,4.0,Retail , Mumbai +213 more
107,Standard Chartered,3.9,Banking , London +58 more
108,Coforge,3.5,IT Services & Consulting , Noida +87 more
109,Cyient,3.8,IT Services & Consulting , Hyderabad/Secunderabad +35 more
110,BigBasket,4.0,Internet , Bangalore +116 more
111,ICICI Lombard General Insurance Company,3.8,Insurance , Mumbai +264 more
112,Indiamart Intermesh,3.6,Internet , Noida +145 more
113,CGI Group,4.1,IT Services & Consulting , Montreal +32 more
114,Virtusa Consulting Services,3.8,IT Services & Consulting , Southborough +39 more
115,Equitas Small Finance Bank,4.3,Banking , Chennai +370 more
116,TVS Motor,4.1,Automobile , Chennai +278 more
117,Manappuram Finance,4.0,NBFC , Thrissur/Trichur +519 more
118,Ekart Logistics,4.1,Logistics , San Francisco +611 more
119,GlobalLogic,3.7,IT Services & Consulting , San Jose +35 more
120,UST,3.8,IT Services & Consulting , Kochi +36 more
121,SBI Cards & Payment Services,3.7,Financial Services , Kochi +352 more
122,Hewlett Packard Enterprise,4.2,IT Services & Consulting , Kochi +90 more
123,Atos Syntel,3.6,IT Services & Consulting , Pune +26 more
124,Bosch Global Software Technologies,4.1,Software Product , Bangalore / Bengaluru +31 more
125,IQVIA,4.0,Clinical Research , Kochi +45 more
126,Nagarro,4.1,IT Services & Consulting , Gurgaon / Gurugram +42 more
127,Cholamandalam Investment & Finance,4.1,NBFC , Kochi +653 more
128,SMFG India Credit,4.1,NBFC , Kochi +492 more
129,Bosch,4.3,Auto Components , Kochi +103 more
130,Reliance Communications,4.0,Telecom , Kochi +426 more
131,BNY,4.0,Investment Banking / Venture Capital / Private Equity , Pune +16 more
132,L&T Technology Services,3.4,IT Services & Consulting , Kochi +52 more
133,Schneider Electric,4.2,Industrial Automation , Kochi +117 more
134,Hyundai Motor India Limited,4.4,Automobile , Kochi +270 more
135,Amdocs,4.0,Software Product , Pune +14 more
136,Oyo Rooms,3.4,Hospitality , Kochi +116 more
137,Swiggy,3.8,Internet , Kochi +193 more
138,CBRE,4.2,Real Estate , Kochi +75 more
139,State Bank of India,3.8,Banking , Kochi +498 more
140,JBM Group,4.0,Auto Components , Gurgaon/Gurugram +85 more
141,BT Group,4.1,Telecom , London +18 more
142,SBI Life Insurance Company,3.9,Insurance , Mumbai +531 more
143,Optum,4.0,Healthcare , Prairie +32 more
144,Ecom Express,4.0,Logistics , Gurgaon +637 more
145,Nagarjuna Construction Company,4.2,Engineering & Construction , Hyderabad/Secunderabad +227 more
146,Dell,4.2,Consumer Electronics & Appliances , Round Rock +99 more
147,Bajaj Auto,3.9,Automobile , Pune +262 more
148,KEC International,4.1,Engineering & Construction , Mumbai +265 more
149,Future Group,4.3,Retail , Mumbai +201 more
150,Piramal Capital Housing Finance,4.2,NBFC , Mumbai +334 more
151,Aditya Birla Fashion and Retail,4.2,Fashion & Textile , Mumbai +232 more
152,Muthoot Fincorp,4.0,NBFC , Trivandrum/Thiruvananthapuram +553 more
153,Royal Enfield,4.3,Automobile , Gurgaon/Gurugram +314 more
154,L&T Finance,4.0,NBFC , Mumbai +476 more
155,Viatris,4.2,Pharma , Canonsburg +69 more
156,Tata Communications,4.1,Telecom , Mumbai +87 more
157,Samvardhana Motherson Group,3.8,Auto Components , Noida +82 more
158,LG Electronics,4.1,Consumer Electronics & Appliances , Seoul +250 more
159,Intas Pharmaceuticals,4.2,Pharma , Ahmedabad +116 more
160,John Deere,4.2,Industrial Machinery , Moline +121 more
161,Varun Beverages,4.1,Beverage , Gurgaon/Gurugram +289 more
162,Kogta Financial India Limited,4.8,NBFC , Jaipur +206 more
163,Persistent Systems,3.7,IT Services & Consulting , Pune +33 more
164,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances , Mumbai +132 more
165,Randstad,3.9,Recruitment , Chennai +267 more
166,Thermax Limited,4.2,Industrial Machinery , Pune +184 more
167,Hetero Drugs,3.9,Pharma , Hyderabad/Secunderabad +47 more
168,Deutsche Bank,4.0,Banking , Frankfurt +38 more
169,Macleods Pharmaceuticals,3.8,Pharma , Mumbai +99 more
170,Havells,4.1,Electrical Equipment , Noida +186 more
171,CARS24,3.7,Internet , Gurgaon +149 more
172,Team Lease,4.0,Recruitment , Bangalore/Bengaluru +312 more
173,Subros,4.0,Auto Components , Noida +61 more
174,Sodexo,4.2,Facility Management Services , Issy les Moulineaux +132 more
175,Abbott,4.2,Pharma , Illinois City +172 more
176,VE Commercial Vehicles,4.1,Automobile , Gurgaon/Gurugram +128 more
177,Indian Oil Corporation,4.4,Oil & Gas , Delhi/NCR +261 more
178,Whitehat jr,3.5,EdTech , Mumbai +51 more
179,Ford Motor,4.5,Automobile , Dearborn +110 more
180,Tata Capital,4.1,NBFC , Mumbai +242 more
181,Automatic Data Processing (ADP),4.1,Software Product , New Jersey +27 more
182,Bharat Electronics,4.2,Electronics Manufacturing , Bangalore/Bengaluru +55 more
183,Cummins,4.4,Industrial Machinery , Columbus +86 more
184,ITC Infotech,3.8,IT Services & Consulting , Bangalore/Bengaluru +54 more
185,Access Healthcare,3.9,IT Services & Consulting , Dallas +32 more
